Mike eat rice.	迈克吃米饭。
David want dumplings.	大卫想要饺子。
Mike want pizza.	迈克想要披萨。
Anna is a student.	安娜是学生。
I like noodles.	我喜欢面条。
Emma want soup.	艾玛想要汤。
Mike like pizza.	迈克喜欢披萨。
Mike is a cook.	迈克是厨师。
John eat salad.	约翰吃沙拉。
Anna is an engineer.	安娜是工程师。
We like ice cream.	我们喜欢冰淇淋。
David is a designer.	大卫是设计师。
Anna want rice.	安娜想要米饭。
Mary want salad.	玛丽想要沙拉。
Lucy want salad.	露西想要沙拉。
John is a cook.	约翰是厨师。
You like rice.	你喜欢米饭。
Lucy like noodles.	露西喜欢面条。
David want salad.	大卫想要沙拉。
John is a nurse.	约翰是护士。
You like ice cream.	你喜欢冰淇淋。
You like bread.	你喜欢面包。
Emma is an engineer.	艾玛是工程师。
Lucy eat salad.	露西吃沙拉。
David like rice.	大卫喜欢米饭。
Lucy want soup.	露西想要汤。
Lucy like ice cream.	露西喜欢冰淇淋。
Mary like rice.	玛丽喜欢米饭。
Emma like salad.	艾玛喜欢沙拉。
David eat bread.	大卫吃面包。
John like noodles.	约翰喜欢面条。
Lucy is an engineer.	露西是工程师。
They are a cook.	他们是厨师。
Mary want noodles.	玛丽想要面条。
David like noodles.	大卫喜欢面条。
Anna want noodles.	安娜想要面条。
Mike like salad.	迈克喜欢沙拉。
Emma is a cook.	艾玛是厨师。
Mike eat bread.	迈克吃面包。
We eat dumplings.	我们吃饺子。
They want salad.	他们想要沙拉。
Emma is a driver.	艾玛是司机。
We eat pizza.	我们吃披萨。
They eat noodles.	他们吃面条。
Tom like salad.	汤姆喜欢沙拉。
John want bread.	约翰想要面包。
John like bread.	约翰喜欢面包。
I am a doctor.	我是医生。
Tom is a driver.	汤姆是司机。
David eat rice.	大卫吃米饭。
Lucy like pizza.	露西喜欢披萨。
You want bread.	你想要面包。
We eat salad.	我们吃沙拉。
They eat pizza.	他们吃披萨。
I like pizza.	我喜欢披萨。
I eat dumplings.	我吃饺子。
David is a doctor.	大卫是医生。
We want dumplings.	我们想要饺子。
Mary want bread.	玛丽想要面包。
You are a doctor.	你是医生。
David is a teacher.	大卫是老师。
Anna is a cook.	安娜是厨师。
Mary like dumplings.	玛丽喜欢饺子。
David is a student.	大卫是学生。
They want ice cream.	他们想要冰淇淋。
Mary like soup.	玛丽喜欢汤。
I want noodles.	我想要面条。
Tom want dumplings.	汤姆想要饺子。
Anna eat bread.	安娜吃面包。
You like dumplings.	你喜欢饺子。
I like bread.	我喜欢面包。
Emma like soup.	艾玛喜欢汤。
Tom is a cook.	汤姆是厨师。
We like rice.	我们喜欢米饭。
We are an engineer.	我们是工程师。
Anna eat pizza.	安娜吃披萨。
John eat noodles.	约翰吃面条。
We eat soup.	我们吃汤。
Emma is a teacher.	艾玛是老师。
Lucy eat ice cream.	露西吃冰淇淋。
David want ice cream.	大卫想要冰淇淋。
We want pizza.	我们想要披萨。
Lucy eat noodles.	露西吃面条。
We eat ice cream.	我们吃冰淇淋。
Lucy eat dumplings.	露西吃饺子。
You eat dumplings.	你吃饺子。
Lucy eat pizza.	露西吃披萨。
I am a nurse.	我是护士。
Anna like bread.	安娜喜欢面包。
Emma like noodles.	艾玛喜欢面条。
We like soup.	我们喜欢汤。
Mike eat pizza.	迈克吃披萨。
Tom want bread.	汤姆想要面包。
They eat bread.	他们吃面包。
I like rice.	我喜欢米饭。
You are an engineer.	你是工程师。
Tom eat noodles.	汤姆吃面条。
Anna like noodles.	安娜喜欢面条。
I am a driver.	我是司机。
Mary eat pizza.	玛丽吃披萨。
I eat soup.	我吃汤。
You want ice cream.	你想要冰淇淋。
Emma like dumplings.	艾玛喜欢饺子。
You are a teacher.	你是老师。
I want salad.	我想要沙拉。
Emma eat bread.	艾玛吃面包。
They are a nurse.	他们是护士。
Mary is an engineer.	玛丽是工程师。
Anna eat salad.	安娜吃沙拉。
Mike eat soup.	迈克吃汤。
Where is the supermarket?	超市在哪里？
Emma want ice cream.	艾玛想要冰淇淋。
We eat rice.	我们吃米饭。
Mike eat noodles.	迈克吃面条。
They eat dumplings.	他们吃饺子。
John like dumplings.	约翰喜欢饺子。
